product_name,brand,country,claim_text,claim_type,x_category,touchpoint,relevancy,product_category,product_subcategory
Serum C,Brand B,USA,Reduces pore appearance,statement,shares/sales/R&R/endorsement,TVC,0.64,Skincare,Serum
Serum C,Brand B,USA,9 out of 10 women agree,statement,clinical/instrumental,POS,0.57,Skincare,Serum
Serum C,Brand B,USA,No parabens,statement,science/formulation/ingredient/packaging,TVC,0.78,Skincare,Serum
Serum C,Brand B,USA,Oil-free formula,statement,emotion,PACK,0.43,Skincare,Serum
Serum C,Brand B,USA,9 out of 10 women agree,statement,science/formulation/ingredient/packaging,PACK,0.71,Skincare,Serum
Serum C,Brand B,USA,Non-comedogenic,statement,local relevance/safety/sustainability,Digital,0.47,Skincare,Serum
Serum C,Brand B,USA,Visible glow immediately,imagery,science/formulation/ingredient/packaging,Digital,0.91,Skincare,Serum
Serum C,Brand B,USA,Improves skin elasticity,imagery,science/formulation/ingredient/packaging,TVC,0.41,Skincare,Serum
Serum C,Brand B,USA,Smooth skin after 1 week,imagery,science/formulation/ingredient/packaging,Digital,0.72,Skincare,Serum
Serum C,Brand B,USA,Boosts skin barrier,imagery,science/formulation/ingredient/packaging,PACK,0.35,Skincare,Serum
Serum C,Brand B,USA,9 out of 10 women agree,comparative/superiority,local relevance/safety/sustainability,PACK,0.81,Skincare,Serum
Serum C,Brand B,USA,Dermatologist recommended formula,comparative/superiority,clinical/instrumental,PACK,0.55,Skincare,Serum
Serum C,Brand B,USA,Sustainable packaging,comparative/superiority,science/formulation/ingredient/packaging,TVC,0.78,Skincare,Serum
Serum C,Brand B,USA,Fast-absorbing texture,comparative/superiority,sensory,PACK,0.41,Skincare,Serum
Serum C,Brand B,USA,Visible glow immediately,comparative/superiority,emotion,Digital,0.94,Skincare,Serum
Serum C,Brand B,USA,Sustainable packaging,comparative/superiority,science/formulation/ingredient/packaging,Digital,0.85,Skincare,Serum
Serum C,Brand B,USA,9 out of 10 women agree,imagery,emotion,POS,0.68,Skincare,Serum
Serum C,Brand B,USA,Reduces fine lines,imagery,local relevance/safety/sustainability,Digital,0.33,Skincare,Serum
Serum C,Brand B,USA,Sustainable packaging,imagery,science/formulation/ingredient/packaging,PACK,0.71,Skincare,Serum
Serum C,Brand B,USA,Proven with clinical trial,imagery,shares/sales/R&R/endorsement,TVC,0.64,Skincare,Serum
Serum C,Brand B,USA,Trusted by professionals,imagery,local relevance/safety/sustainability,TVC,0.92,Skincare,Serum
Serum C,Brand B,USA,Allergy tested,comparative/superiority,science/formulation/ingredient/packaging,POS,0.88,Skincare,Serum
Serum D,Brand A,USA,Fragrance-free and gentle,statement,consumer perception,Digital,0.39,Skincare,Serum
Serum D,Brand A,USA,Allergy tested,statement,emotion,PACK,0.32,Skincare,Serum
Serum D,Brand A,USA,Pro formula,statement,science/formulation/ingredient/packaging,POS,0.46,Skincare,Serum
Serum D,Brand A,USA,More hydration than leading brand,statement,science/formulation/ingredient/packaging,Digital,0.52,Skincare,Serum
Serum D,Brand A,USA,Fast-absorbing texture,statement,clinical/instrumental,TVC,0.33,Skincare,Serum
Serum D,Brand A,USA,Fast-absorbing texture,statement,science/formulation/ingredient/packaging,PACK,0.66,Skincare,Serum
Serum D,Brand A,USA,No parabens,statement,clinical/instrumental,Digital,0.35,Skincare,Serum
Serum D,Brand A,USA,No parabens,statement,science/formulation/ingredient/packaging,TVC,0.69,Skincare,Serum
Serum D,Brand A,USA,Reduces fine lines,statement,emotion,Digital,0.84,Skincare,Serum
Serum D,Brand A,USA,Recommended by dermatologists,statement,shares/sales/R&R/endorsement,PACK,0.68,Skincare,Serum
Serum D,Brand A,USA,Deep hydration effect,comparative/superiority,clinical/instrumental,POS,0.48,Skincare,Serum
Serum D,Brand A,USA,Glowing skin all day,imagery,shares/sales/R&R/endorsement,PACK,0.71,Skincare,Serum
Serum D,Brand A,USA,Deep hydration effect,comparative/superiority,science/formulation/ingredient/packaging,Digital,0.84,Skincare,Serum
Serum D,Brand A,USA,Eco-friendly packaging,imagery,emotion,TVC,0.43,Skincare,Serum
Serum D,Brand A,USA,Pro formula,imagery,clinical/instrumental,PACK,0.43,Skincare,Serum
Serum D,Brand A,USA,Fragrance-free and gentle,comparative/superiority,local relevance/safety/sustainability,Digital,0.62,Skincare,Serum
Serum D,Brand A,USA,Visible results in 7 days,comparative/superiority,sensory,TVC,0.37,Skincare,Serum
Serum D,Brand A,USA,Tested on sensitive skin,comparative/superiority,clinical/instrumental,Digital,0.58,Skincare,Serum
Serum D,Brand A,USA,Boosts skin barrier,comparative/superiority,emotion,PACK,0.62,Skincare,Serum
Serum D,Brand A,USA,No parabens,imagery,science/formulation/ingredient/packaging,TVC,0.62,Skincare,Serum
Serum D,Brand A,USA,Fragrance-free and gentle,comparative/superiority,shares/sales/R&R/endorsement,TVC,0.48,Skincare,Serum
Serum D,Brand A,USA,Visible results in 7 days,comparative/superiority,science/formulation/ingredient/packaging,PACK,0.6,Skincare,Serum
Serum D,Brand A,USA,Reduces pore appearance,imagery,consumer perception,POS,0.5,Skincare,Serum
Serum D,Brand A,USA,Clinically proven results,imagery,clinical/instrumental,Digital,0.83,Skincare,Serum
Serum D,Brand A,USA,Reduces pore appearance,comparative/superiority,emotion,PACK,0.99,Skincare,Serum
Serum D,Brand A,USA,Boosts skin barrier,imagery,science/formulation/ingredient/packaging,PACK,0.38,Skincare,Serum
Serum D,Brand A,USA,Boosts skin barrier,comparative/superiority,science/formulation/ingredient/packaging,POS,0.98,Skincare,Serum
Toner E,Brand D,USA,Allergy tested,statement,science/formulation/ingredient/packaging,TVC,0.9,Skincare,Toner
Toner E,Brand D,USA,Boosts skin barrier,statement,emotion,Digital,0.36,Skincare,Toner
Toner E,Brand D,USA,Non-comedogenic,statement,science/formulation/ingredient/packaging,TVC,0.39,Skincare,Toner
Toner E,Brand D,USA,Reduces pore appearance,statement,local relevance/safety/sustainability,TVC,0.45,Skincare,Toner
Toner E,Brand D,USA,Reduces pore appearance,statement,consumer perception,POS,0.89,Skincare,Toner
Toner E,Brand D,USA,Instant soothing,statement,local relevance/safety/sustainability,PACK,0.91,Skincare,Toner
Toner E,Brand D,USA,Reduces fine lines,statement,science/formulation/ingredient/packaging,Digital,0.73,Skincare,Toner
Toner E,Brand D,USA,No parabens,statement,shares/sales/R&R/endorsement,PACK,0.4,Skincare,Toner
Toner E,Brand D,USA,9 out of 10 women agree,statement,consumer perception,Digital,0.68,Skincare,Toner
Toner E,Brand D,USA,Non-comedogenic,statement,local relevance/safety/sustainability,POS,0.7,Skincare,Toner
Toner E,Brand D,USA,Fast-absorbing texture,comparative/superiority,emotion,POS,0.97,Skincare,Toner
Toner E,Brand D,USA,Fast-absorbing texture,comparative/superiority,science/formulation/ingredient/packaging,PACK,0.32,Skincare,Toner
Toner E,Brand D,USA,9 out of 10 women agree,imagery,shares/sales/R&R/endorsement,PACK,0.7,Skincare,Toner
Toner E,Brand D,USA,No parabens,imagery,science/formulation/ingredient/packaging,TVC,0.79,Skincare,Toner
Toner E,Brand D,USA,Oil-free formula,imagery,consumer perception,PACK,0.4,Skincare,Toner
Toner E,Brand D,USA,Fragrance-free and gentle,comparative/superiority,science/formulation/ingredient/packaging,POS,0.45,Skincare,Toner
Toner E,Brand D,USA,Instant soothing,comparative/superiority,consumer perception,Digital,0.64,Skincare,Toner
Toner E,Brand D,USA,Sustainable packaging,comparative/superiority,emotion,Digital,0.42,Skincare,Toner
Toner E,Brand D,USA,Oil-free formula,imagery,science/formulation/ingredient/packaging,TVC,0.82,Skincare,Toner
Toner E,Brand D,USA,9 out of 10 women agree,comparative/superiority,science/formulation/ingredient/packaging,TVC,0.92,Skincare,Toner
Toner E,Brand D,USA,Allergy tested,imagery,science/formulation/ingredient/packaging,Digital,0.37,Skincare,Toner
Toner E,Brand D,USA,Recommended by dermatologists,imagery,clinical/instrumental,Digital,0.3,Skincare,Toner
Toner E,Brand D,USA,Pro formula,comparative/superiority,science/formulation/ingredient/packaging,PACK,0.68,Skincare,Toner
Toner E,Brand D,USA,Visible glow immediately,comparative/superiority,science/formulation/ingredient/packaging,TVC,0.83,Skincare,Toner
Toner E,Brand D,USA,Dermatologist recommended formula,comparative/superiority,sensory,Digital,0.69,Skincare,Toner
Toner E,Brand D,USA,Smooth skin after 1 week,imagery,science/formulation/ingredient/packaging,POS,0.83,Skincare,Toner
Toner E,Brand D,USA,Instant soothing,comparative/superiority,science/formulation/ingredient/packaging,TVC,0.58,Skincare,Toner
Toner E,Brand D,USA,Glowing skin all day,imagery,science/formulation/ingredient/packaging,PACK,0.7,Skincare,Toner
Serum F,Brand B,USA,Smooth skin after 1 week,statement,sensory,PACK,0.53,Skincare,Serum
Serum F,Brand B,USA,Tested on sensitive skin,statement,science/formulation/ingredient/packaging,PACK,0.35,Skincare,Serum
Serum F,Brand B,USA,More hydration than leading brand,statement,science/formulation/ingredient/packaging,POS,0.68,Skincare,Serum
Serum F,Brand B,USA,Innovative delivery system,statement,science/formulation/ingredient/packaging,POS,0.88,Skincare,Serum
Serum F,Brand B,USA,Non-comedogenic,statement,science/formulation/ingredient/packaging,PACK,0.79,Skincare,Serum
Serum F,Brand B,USA,Visible results in 7 days,statement,local relevance/safety/sustainability,POS,0.57,Skincare,Serum
Serum F,Brand B,USA,Boosts skin barrier,statement,emotion,Digital,0.73,Skincare,Serum
Serum F,Brand B,USA,Reduces pore appearance,statement,science/formulation/ingredient/packaging,TVC,0.72,Skincare,Serum
Serum F,Brand B,USA,Reduces fine lines,statement,science/formulation/ingredient/packaging,TVC,0.85,Skincare,Serum
Serum F,Brand B,USA,Recommended by dermatologists,statement,science/formulation/ingredient/packaging,Digital,0.62,Skincare,Serum
Serum F,Brand B,USA,Sustainable packaging,imagery,science/formulation/ingredient/packaging,TVC,0.66,Skincare,Serum
Serum F,Brand B,USA,Pro formula,comparative/superiority,science/formulation/ingredient/packaging,PACK,0.82,Skincare,Serum
Serum F,Brand B,USA,Non-comedogenic,imagery,sensory,TVC,0.54,Skincare,Serum
Serum F,Brand B,USA,Trusted by professionals,comparative/superiority,local relevance/safety/sustainability,Digital,0.92,Skincare,Serum
Serum F,Brand B,USA,Non-comedogenic,comparative/superiority,clinical/instrumental,Digital,0.35,Skincare,Serum
Serum F,Brand B,USA,Trusted by professionals,comparative/superiority,local relevance/safety/sustainability,PACK,0.79,Skincare,Serum
Serum F,Brand B,USA,Clinically proven results,comparative/superiority,science/formulation/ingredient/packaging,Digital,0.5,Skincare,Serum
Serum F,Brand B,USA,Sustainable packaging,comparative/superiority,science/formulation/ingredient/packaging,Digital,0.77,Skincare,Serum
Serum F,Brand B,USA,Allergy tested,imagery,sensory,PACK,0.47,Skincare,Serum
Serum F,Brand B,USA,Fast-absorbing texture,comparative/superiority,science/formulation/ingredient/packaging,PACK,0.89,Skincare,Serum
Serum F,Brand B,USA,Tested on sensitive skin,comparative/superiority,consumer perception,Digital,0.81,Skincare,Serum
Serum F,Brand B,USA,No parabens,imagery,clinical/instrumental,POS,0.55,Skincare,Serum
Serum F,Brand B,USA,Pro formula,imagery,consumer perception,TVC,0.63,Skincare,Serum
Serum F,Brand B,USA,Recommended by dermatologists,comparative/superiority,science/formulation/ingredient/packaging,PACK,0.42,Skincare,Serum
Serum F,Brand B,USA,Clinically proven results,comparative/superiority,local relevance/safety/sustainability,TVC,0.56,Skincare,Serum
Serum F,Brand B,USA,Non-comedogenic,comparative/superiority,consumer perception,Digital,0.3,Skincare,Serum
Serum F,Brand B,USA,Smooth skin after 1 week,imagery,science/formulation/ingredient/packaging,Digital,0.99,Skincare,Serum
Essence G,Brand B,USA,Smooth skin after 1 week,statement,science/formulation/ingredient/packaging,Digital,0.34,Skincare,Essence
Essence G,Brand B,USA,Reduces pore appearance,statement,science/formulation/ingredient/packaging,POS,0.58,Skincare,Essence
Essence G,Brand B,USA,Tested on sensitive skin,statement,local relevance/safety/sustainability,Digital,0.89,Skincare,Essence
Essence G,Brand B,USA,Tested on sensitive skin,statement,clinical/instrumental,PACK,0.41,Skincare,Essence
Essence G,Brand B,USA,Tested on sensitive skin,statement,shares/sales/R&R/endorsement,Digital,0.64,Skincare,Essence
Essence G,Brand B,USA,Eco-friendly packaging,statement,clinical/instrumental,Digital,0.88,Skincare,Essence
Essence G,Brand B,USA,Visible results in 7 days,statement,science/formulation/ingredient/packaging,TVC,0.64,Skincare,Essence
Essence G,Brand B,USA,Visible glow immediately,statement,consumer perception,TVC,0.45,Skincare,Essence
Essence G,Brand B,USA,Proven with clinical trial,statement,shares/sales/R&R/endorsement,Digital,0.71,Skincare,Essence
Essence G,Brand B,USA,Trusted by professionals,statement,local relevance/safety/sustainability,POS,0.83,Skincare,Essence
Essence G,Brand B,USA,Proven with clinical trial,comparative/superiority,emotion,TVC,0.62,Skincare,Essence
Essence G,Brand B,USA,Allergy tested,comparative/superiority,shares/sales/R&R/endorsement,Digital,0.83,Skincare,Essence
Essence G,Brand B,USA,Pro formula,comparative/superiority,local relevance/safety/sustainability,Digital,0.45,Skincare,Essence
Essence G,Brand B,USA,Instant soothing,imagery,science/formulation/ingredient/packaging,POS,0.67,Skincare,Essence
Essence G,Brand B,USA,No parabens,imagery,science/formulation/ingredient/packaging,PACK,0.4,Skincare,Essence
Essence G,Brand B,USA,Tested on sensitive skin,comparative/superiority,emotion,PACK,0.43,Skincare,Essence
Essence G,Brand B,USA,Dermatologist recommended formula,imagery,science/formulation/ingredient/packaging,PACK,0.3,Skincare,Essence
Essence G,Brand B,USA,Smooth skin after 1 week,imagery,consumer perception,TVC,0.56,Skincare,Essence
Essence G,Brand B,USA,Pro formula,imagery,science/formulation/ingredient/packaging,PACK,0.44,Skincare,Essence
Essence G,Brand B,USA,Reduces fine lines,comparative/superiority,science/formulation/ingredient/packaging,Digital,0.91,Skincare,Essence
Essence G,Brand B,USA,Improves skin elasticity,comparative/superiority,science/formulation/ingredient/packaging,POS,0.59,Skincare,Essence
Essence G,Brand B,USA,Fast-absorbing texture,imagery,science/formulation/ingredient/packaging,PACK,0.52,Skincare,Essence
Essence G,Brand B,USA,Reduces pore appearance,comparative/superiority,local relevance/safety/sustainability,POS,0.35,Skincare,Essence
Essence G,Brand B,USA,Improves skin elasticity,imagery,shares/sales/R&R/endorsement,TVC,0.31,Skincare,Essence
Essence G,Brand B,USA,Smooth skin after 1 week,imagery,clinical/instrumental,POS,0.7,Skincare,Essence
Essence G,Brand B,USA,Smooth skin after 1 week,imagery,science/formulation/ingredient/packaging,TVC,0.55,Skincare,Essence
Lotion H,Brand C,USA,Instant soothing,statement,science/formulation/ingredient/packaging,Digital,0.95,Skincare,Lotion
Lotion H,Brand C,USA,More hydration than leading brand,statement,sensory,TVC,0.8,Skincare,Lotion
Lotion H,Brand C,USA,More hydration than leading brand,statement,science/formulation/ingredient/packaging,POS,0.76,Skincare,Lotion
Lotion H,Brand C,USA,Fragrance-free and gentle,statement,science/formulation/ingredient/packaging,TVC,0.73,Skincare,Lotion
Lotion H,Brand C,USA,No parabens,statement,science/formulation/ingredient/packaging,POS,0.81,Skincare,Lotion
Lotion H,Brand C,USA,Dermatologist recommended formula,statement,science/formulation/ingredient/packaging,TVC,0.66,Skincare,Lotion
Lotion H,Brand C,USA,Non-comedogenic,statement,science/formulation/ingredient/packaging,TVC,0.36,Skincare,Lotion
Lotion H,Brand C,USA,Sustainable packaging,statement,clinical/instrumental,TVC,0.94,Skincare,Lotion
Lotion H,Brand C,USA,Visible results in 7 days,statement,science/formulation/ingredient/packaging,TVC,0.9,Skincare,Lotion
Lotion H,Brand C,USA,98% natural ingredients,statement,science/formulation/ingredient/packaging,POS,0.76,Skincare,Lotion
Lotion H,Brand C,USA,9 out of 10 women agree,imagery,emotion,POS,0.41,Skincare,Lotion
Lotion H,Brand C,USA,Proven with clinical trial,comparative/superiority,science/formulation/ingredient/packaging,POS,0.53,Skincare,Lotion
Lotion H,Brand C,USA,Pro formula,imagery,sensory,POS,0.91,Skincare,Lotion
Lotion H,Brand C,USA,Deep hydration effect,comparative/superiority,consumer perception,PACK,0.56,Skincare,Lotion
Lotion H,Brand C,USA,Instant soothing,imagery,science/formulation/ingredient/packaging,POS,0.62,Skincare,Lotion
Lotion H,Brand C,USA,Clinically proven results,comparative/superiority,local relevance/safety/sustainability,PACK,0.9,Skincare,Lotion
Lotion H,Brand C,USA,Visible results in 7 days,comparative/superiority,consumer perception,POS,0.56,Skincare,Lotion
Lotion H,Brand C,USA,Deep hydration effect,imagery,sensory,POS,0.79,Skincare,Lotion
Lotion H,Brand C,USA,Eco-friendly packaging,comparative/superiority,local relevance/safety/sustainability,Digital,0.91,Skincare,Lotion
Lotion H,Brand C,USA,Reduces fine lines,comparative/superiority,local relevance/safety/sustainability,PACK,0.9,Skincare,Lotion
Lotion H,Brand C,USA,Visible results in 7 days,comparative/superiority,shares/sales/R&R/endorsement,POS,0.96,Skincare,Lotion
Lotion H,Brand C,USA,Fragrance-free and gentle,comparative/superiority,science/formulation/ingredient/packaging,POS,0.81,Skincare,Lotion
Lotion H,Brand C,USA,More hydration than leading brand,comparative/superiority,clinical/instrumental,POS,0.42,Skincare,Lotion
Lotion H,Brand C,USA,Proven with clinical trial,comparative/superiority,science/formulation/ingredient/packaging,POS,0.69,Skincare,Lotion
Lotion H,Brand C,USA,Non-comedogenic,imagery,science/formulation/ingredient/packaging,POS,0.97,Skincare,Lotion
Lotion H,Brand C,USA,Dermatologist recommended formula,imagery,sensory,POS,0.95,Skincare,Lotion
Lotion H,Brand C,USA,Visible results in 7 days,imagery,science/formulation/ingredient/packaging,POS,0.93,Skincare,Lotion
Lotion H,Brand C,USA,Boosts skin barrier,comparative/superiority,shares/sales/R&R/endorsement,POS,0.8,Skincare,Lotion
Lotion H,Brand C,USA,Smooth skin after 1 week,comparative/superiority,sensory,PACK,0.74,Skincare,Lotion
Lotion H,Brand C,USA,Sustainable packaging,imagery,science/formulation/ingredient/packaging,POS,0.3,Skincare,Lotion
Toner I,Brand D,USA,Improves skin elasticity,statement,science/formulation/ingredient/packaging,PACK,0.77,Skincare,Toner
Toner I,Brand D,USA,Reduces fine lines,statement,emotion,POS,0.91,Skincare,Toner
Toner I,Brand D,USA,Trusted by professionals,statement,emotion,PACK,0.96,Skincare,Toner
Toner I,Brand D,USA,Sustainable packaging,statement,science/formulation/ingredient/packaging,Digital,0.75,Skincare,Toner
Toner I,Brand D,USA,Fast-absorbing texture,statement,emotion,PACK,0.73,Skincare,Toner
Toner I,Brand D,USA,Oil-free formula,statement,shares/sales/R&R/endorsement,TVC,0.97,Skincare,Toner
Toner I,Brand D,USA,Instant soothing,statement,sensory,POS,0.43,Skincare,Toner
Toner I,Brand D,USA,98% natural ingredients,statement,emotion,POS,0.62,Skincare,Toner
Toner I,Brand D,USA,Fast-absorbing texture,statement,local relevance/safety/sustainability,POS,0.39,Skincare,Toner
Toner I,Brand D,USA,More hydration than leading brand,statement,emotion,Digital,0.6,Skincare,Toner
Toner I,Brand D,USA,No parabens,comparative/superiority,sensory,Digital,0.83,Skincare,Toner
Toner I,Brand D,USA,Boosts skin barrier,imagery,science/formulation/ingredient/packaging,PACK,0.71,Skincare,Toner
Toner I,Brand D,USA,Smooth skin after 1 week,imagery,local relevance/safety/sustainability,PACK,0.62,Skincare,Toner
Toner I,Brand D,USA,Oil-free formula,comparative/superiority,science/formulation/ingredient/packaging,POS,0.4,Skincare,Toner
Toner I,Brand D,USA,Oil-free formula,comparative/superiority,science/formulation/ingredient/packaging,Digital,0.46,Skincare,Toner
Toner I,Brand D,USA,Fragrance-free and gentle,comparative/superiority,science/formulation/ingredient/packaging,PACK,0.85,Skincare,Toner
Toner I,Brand D,USA,Smooth skin after 1 week,comparative/superiority,shares/sales/R&R/endorsement,PACK,0.92,Skincare,Toner
Toner I,Brand D,USA,More hydration than leading brand,comparative/superiority,clinical/instrumental,Digital,0.56,Skincare,Toner
Toner I,Brand D,USA,No parabens,comparative/superiority,sensory,Digital,0.78,Skincare,Toner
Toner I,Brand D,USA,98% natural ingredients,comparative/superiority,science/formulation/ingredient/packaging,TVC,0.5,Skincare,Toner
Toner I,Brand D,USA,Allergy tested,comparative/superiority,science/formulation/ingredient/packaging,TVC,0.74,Skincare,Toner
Toner I,Brand D,USA,Proven with clinical trial,comparative/superiority,sensory,TVC,0.64,Skincare,Toner
Toner I,Brand D,USA,Pro formula,imagery,science/formulation/ingredient/packaging,TVC,0.97,Skincare,Toner
Toner I,Brand D,USA,Instant soothing,imagery,consumer perception,POS,0.54,Skincare,Toner
Toner I,Brand D,USA,Smooth skin after 1 week,imagery,clinical/instrumental,POS,0.62,Skincare,Toner
Toner I,Brand D,USA,Tested on sensitive skin,comparative/superiority,clinical/instrumental,PACK,0.82,Skincare,Toner
Toner I,Brand D,USA,Visible results in 7 days,comparative/superiority,shares/sales/R&R/endorsement,Digital,0.74,Skincare,Toner
Cream J,Brand D,USA,Non-comedogenic,statement,science/formulation/ingredient/packaging,Digital,0.52,Skincare,Cream
Cream J,Brand D,USA,Innovative delivery system,statement,science/formulation/ingredient/packaging,TVC,0.87,Skincare,Cream
Cream J,Brand D,USA,Oil-free formula,statement,emotion,TVC,0.87,Skincare,Cream
Cream J,Brand D,USA,Trusted by professionals,statement,science/formulation/ingredient/packaging,Digital,0.4,Skincare,Cream
Cream J,Brand D,USA,Reduces fine lines,statement,science/formulation/ingredient/packaging,TVC,0.57,Skincare,Cream
